assembly	excluded	selectionGroup	source	taxid	name	group	subgroup	gcode	superkingdom	phylum	class	order	family	genus	species	taxostring	size	scaffolds	genes	refseq_category	assembly_level	biosample	bioproject	wgs	wgs_master	is_public	jgiid	ftp_path	shortName	prefix	genomeFile	proteomeFile	completeness	expected_result
GCA_001515215.1	0_included	Euryarchaeota	genbank	1776333	Hadesarchaea archaeon YNP_N21	Euryarchaeota	Hadesarchaea	11	Archaea	Euryarchaeota	Hadesarchaea	NA	NA	NA	Hadesarchaea archaeon YNP_N21	Archaea;Euryarchaeota;Hadesarchaea;NA;NA;NA;Hadesarchaea archaeon YNP_N21	12062000	36	1304	na	Contig	SAMN04159680	PRJNA298487	LQMP01	LQMP00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/215/GCA_001515215.1_metagenomics_assembly	Hadesarchaea_archaeon_YNP_N21	HadAre	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_YNP_N21/GCA_001515215.1_metagenomics_assembly_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Hadesarchaea_archaeon_YNP_N21/GCA_001515215.1_metagenomics_assembly_protein.faa	0.946428571428571	included
GCA_002010075.1	0_included	Euryarchaeota	genbank	1935140	Methanomicrobia archaeon JdFR-19	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	NA	NA	NA	Methanomicrobia archaeon JdFR-19	Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;Methanomicrobia archaeon JdFR-19	12886800	27	-	na	Contig	SAMN06226336	PRJNA269163	MTMG01	MTMG00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/010/075/GCA_002010075.1_ASM201007v1	Methanomicrobia_archaeon_JdFR_19	Mertnm	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobia_archaeon_JdFR_19/GCA_002010075.1_ASM201007v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobia_archaeon_JdFR_19/Methanomicrobia_archaeon_JdFR_19.faa	0.946428571428571	included
GCA_001508695.1	0_included	Euryarchaeota	genbank	1641394	Methanomicrobiales archaeon 53_19	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	NA	NA	Methanomicrobiales archaeon 53_19	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;NA;Methanomicrobiales archaeon 53_19	26292300	286	2864	na	Scaffold	SAMN03445186	PRJNA278302	LGHF01	LGHF00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/695/GCA_001508695.1_ASM150869v1	Methanomicrobiales_archaeon_53_19	MetArc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_53_19/GCA_001508695.1_ASM150869v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanomicrobiales_archaeon_53_19/GCA_001508695.1_ASM150869v1_protein.faa	0.946428571428571	included
GCA_000447225.1	0_included	Euryarchaeota	genbank	667135	Thermoplasmatales archaeon A-plasma	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon A-plasma	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon A-plasma	19896000	118	2280	na	Contig	SAMN02981548	PRJNA209806	ATMF01	ATMF00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/447/225/GCA_000447225.1_amd_a-plasma	Thermoplasmatales_archaeon_A_plasma	TheAra	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_A_plasma/GCA_000447225.1_amd_a-plasma_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_A_plasma/GCA_000447225.1_amd_a-plasma_protein.faa	0.946428571428571	included
GCA_000746075.1	0_included	Methanobacteria	genbank	386456	Methanobacterium arcticum M2	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium arcticum	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium arcticum	33939200	35	3273	na	Scaffold	SAMN02910397	PRJNA245621	JQKN01	JQKN00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/075/GCA_000746075.1_ASM74607v1	Methanobacterium_arcticum_M2	MetArt	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacterium_arcticum_M2/GCA_000746075.1_ASM74607v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacterium_arcticum_M2/Methanobacterium_arcticum_M2.faa	0.964285714285714	included
GCA_002011165.1	0_included	Euryarchaeota	genbank	1935139	Euryarchaeota archaeon JdFR-21	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Euryarchaeota archaeon JdFR-21	Archaea;Euryarchaeota;NA;NA;NA;NA;Euryarchaeota archaeon JdFR-21	14165000	22	-	na	Contig	SAMN06226338	PRJNA269163	MTMI01	MTMI00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/165/GCA_002011165.1_ASM201116v1	Euryarchaeota_archaeon_JdFR_21	trryca	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_JdFR_21/GCA_002011165.1_ASM201116v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Euryarchaeota_archaeon_JdFR_21/Euryarchaeota_archaeon_JdFR_21.faa	0.964285714285714	included
GCA_000685155.1	0_included	Euryarchaeota	genbank	1392998	Candidatus Methanoperedens nitroreducens ANME-2d	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Candidatus Methanoperedenaceae	Candidatus Methanoperedens	Candidatus Methanoperedens nitroreducens	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Candidatus Methanoperedenaceae;Candidatus Methanoperedens;Candidatus Methanoperedens nitroreducens	32033900	10	3360	representative genome	Scaffold	SAMN02713514	PRJNA242803	JMIY01	JMIY00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/155/GCA_000685155.1_ANME2D_V10	Ca_Methanoperedens_nitroreducens_ANME_2	MetNit	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Methanoperedens_nitroreducens_ANME_2/GCA_000685155.1_ANME2D_V10_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Methanoperedens_nitroreducens_ANME_2/GCA_000685155.1_ANME2D_V10_protein.faa	0.964285714285714	included
GCA_001766815.1	0_included	Euryarchaeota	genbank	1838285	Candidatus Syntrophoarchaeum caldarius BOX2	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	Candidatus Syntrophoarchaeum	Candidatus Syntrophoarchaeum caldarius	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;Candidatus Syntrophoarchaeum;Candidatus Syntrophoarchaeum caldarius	16660800	10	1828	na	Scaffold	SAMN04880560	PRJNA319143	LYOS01	LYOS00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/766/815/GCA_001766815.1_ASM176681v1	Ca_Syntrophoarchaeum_caldarius_BOX2	SynCal	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Syntrophoarchaeum_caldarius_BOX2/GCA_001766815.1_ASM176681v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Syntrophoarchaeum_caldarius_BOX2/GCA_001766815.1_ASM176681v1_protein.faa	0.964285714285714	included
GCA_001316105.1	0_included	Euryarchaeota	genbank	1295120	Thermogymnomonas acidicola JCM 13583	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	Thermogymnomonas	Thermogymnomonas acidicola	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;Thermogymnomonas;Thermogymnomonas acidicola	17423800	27	-	na	Contig	SAMD00000520	PRJDB825	BBCP01	BBCP00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/105/GCA_001316105.1_ASM131610v1	Thermogymnomonas_acidicola_JCM_13583	TheAci	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermogymnomonas_acidicola_JCM_13583/GCA_001316105.1_ASM131610v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermogymnomonas_acidicola_JCM_13583/Thermogymnomonas_acidicola_JCM_13583.faa	0.964285714285714	included
GCA_000152265.2	0_included	Euryarchaeota	genbank	333146	Ferroplasma acidarmanus fer1	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;Ferroplasma acidarmanus	19352100	1	1950	representative genome	Complete Genome	SAMN02604346	PRJNA239	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/265/GCA_000152265.2_ASM15226v2	Ferroplasma_acidarmanus_fer1	FerAci	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ferroplasma_acidarmanus_fer1/GCA_000152265.2_ASM15226v2_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ferroplasma_acidarmanus_fer1/GCA_000152265.2_ASM15226v2_protein.faa	0.964285714285714	included
GCA_000008265.1	0_included	Euryarchaeota	genbank	263820	Picrophilus torridus DSM 9790	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;Picrophilus torridus	15459000	1	1616	representative genome	Complete Genome	SAMN02603345	PRJNA10641	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/265/GCA_000008265.1_ASM826v1	Picrophilus_torridus_DSM_9790	PicTor	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Picrophilus_torridus_DSM_9790/GCA_000008265.1_ASM826v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Picrophilus_torridus_DSM_9790/GCA_000008265.1_ASM826v1_protein.faa	0.964285714285714	included
GCA_001856825.1	0_included	Euryarchaeota	genbank	667138	Thermoplasmatales archaeon I-plasma	Euryarchaeota	Thermoplasmata	11	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon I-plasma	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;NA;NA;Thermoplasmatales archaeon I-plasma	16879600	6	1696	na	Contig	SAMN02981546	PRJNA209804	ATMD01	ATMD00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/825/GCA_001856825.1_amd_i-plasma	Thermoplasmatales_archaeon_I_plasma	aaesop	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_I_plasma/GCA_001856825.1_amd_i-plasma_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermoplasmatales_archaeon_I_plasma/GCA_001856825.1_amd_i-plasma_protein.faa	0.964285714285714	included
GCA_001587575.1	0_included	Euryarchaeota	genbank	1706438	Arc I group archaeon BMIXfssc0709_Meth_Bin006	Euryarchaeota	Methanomicrobia	11	Archaea	Euryarchaeota	Methanomicrobia	NA	NA	NA	Arc I group archaeon BMIXfssc0709_Meth_Bin006	Archaea;Euryarchaeota;Methanomicrobia;NA;NA;NA;Arc I group archaeon BMIXfssc0709_Meth_Bin006	15577300	61	1769	na	Contig	SAMN04009752	PRJNA293769	LNJC01	LNJC00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/575/GCA_001587575.1_ASM158757v1	Arc_I_group_archaeon_BMIXfssc0709_Meth	chotop	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Arc_I_group_archaeon_BMIXfssc0709_Meth/GCA_001587575.1_ASM158757v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Arc_I_group_archaeon_BMIXfssc0709_Meth/GCA_001587575.1_ASM158757v1_protein.faa	0.982142857142857	included
GCA_000246985.3	0_included	Thermococci	genbank	523849	Thermococcus litoralis DSM 5473	Euryarchaeota	Thermococci	11	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis	Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus litoralis	22151700	1	2453	representative genome	Complete Genome	SAMN02603679	PRJNA81925	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/985/GCA_000246985.3_ASM24698v3	Thermococcus_litoralis_DSM_5473	TheLit	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermococcus_litoralis_DSM_5473/GCA_000246985.3_ASM24698v3_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Thermococcus_litoralis_DSM_5473/GCA_000246985.3_ASM24698v3_protein.faa	0.982142857142857	included
GCA_002011125.1	0_included	Euryarchaeota	genbank	1935129	Candidatus Hydrothermarchaeota archaeon JdFR-18	Euryarchaeota	unclassified Euryarchaeota	11	Archaea	Euryarchaeota	NA	NA	NA	NA	Candidatus Hydrothermarchaeota archaeon JdFR-18	Archaea;Euryarchaeota;NA;NA;NA;NA;Candidatus Hydrothermarchaeota archaeon JdFR-18	20621300	22	-	na	Contig	SAMN06226335	PRJNA269163	MTMF01	MTMF00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/011/125/GCA_002011125.1_ASM201112v1	Ca_Hydrothermarchaeota_archaeon_JdFR_18	HydAra	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Hydrothermarchaeota_archaeon_JdFR_18/GCA_002011125.1_ASM201112v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Hydrothermarchaeota_archaeon_JdFR_18/Ca_Hydrothermarchaeota_archaeon_JdFR_18.faa	0.982142857142857	included
GCA_900095295.1	0_included	Methanobacteria	genbank	118062	Methanobacterium congolense Buetzberg	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium congolense	24695700	2	2359	na	Complete Genome	SAMEA4378819	PRJEB14599	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/095/295/GCA_900095295.1_MCBB	Methanobacterium_congolense_Buetzberg	MetCog	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacterium_congolense_Buetzberg/GCA_900095295.1_MCBB_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobacterium_congolense_Buetzberg/GCA_900095295.1_MCBB_protein.faa	0.982142857142857	included
GCA_001729965.1	0_included	Methanobacteria	genbank	1561964	Methanosphaera sp. WGK6	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera sp. WGK6	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera sp. WGK6	17291500	37	1623	na	Contig	SAMN03108761	PRJNA263968	JRWK01	JRWK00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/729/965/GCA_001729965.1_ASM172996v1	Methanosphaera_sp_WGK6	Ms6sph	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosphaera_sp_WGK6/GCA_001729965.1_ASM172996v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosphaera_sp_WGK6/GCA_001729965.1_ASM172996v1_protein.faa	0.982142857142857	included
GCA_000012545.1	0_included	Methanobacteria	genbank	339860	Methanosphaera stadtmanae DSM 3091	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera;Methanosphaera stadtmanae	17674000	1	1591	representative genome	Complete Genome	SAMN02604180	PRJNA15579	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/545/GCA_000012545.1_ASM1254v1	Methanosphaera_stadtmanae_DSM_3091	MetSta	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosphaera_stadtmanae_DSM_3091/GCA_000012545.1_ASM1254v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanosphaera_stadtmanae_DSM_3091/GCA_000012545.1_ASM1254v1_protein.faa	0.982142857142857	included
GCA_001639285.1	0_included	Methanobacteria	genbank	47311	Methanobrevibacter cuticularis DSM 11139	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter cuticularis	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter cuticularis	26087000	169	2042	na	Contig	SAMN04867344	PRJNA318765	LWMW01	LWMW00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/285/GCA_001639285.1_ASM163928v1	Methanobrevibacter_cuticularis_DSM_1113	MetCut	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_cuticularis_DSM_1113/GCA_001639285.1_ASM163928v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_cuticularis_DSM_1113/GCA_001639285.1_ASM163928v1_protein.faa	0.982142857142857	included
GCA_001639295.1	0_included	Methanobacteria	genbank	49547	Methanobrevibacter curvatus DSM 11111	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter curvatus	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter curvatus	24146100	232	1948	na	Contig	SAMN04867343	PRJNA318764	LWMV01	LWMV00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/295/GCA_001639295.1_ASM163929v1	Methanobrevibacter_curvatus_DSM_11111	MetCur	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_curvatus_DSM_11111/GCA_001639295.1_ASM163929v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_curvatus_DSM_11111/GCA_001639295.1_ASM163929v1_protein.faa	0.982142857142857	included
GCA_001639265.1	0_included	Methanobacteria	genbank	55758	Methanobrevibacter filiformis DSM 11501	Euryarchaeota	Methanobacteria	11	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter filiformis	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter filiformis	26061400	295	1976	na	Contig	SAMN04867340	PRJNA318759	LWMT01	LWMT00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/265/GCA_001639265.1_ASM163926v1	Methanobrevibacter_filiformis_DSM_11501	MetFil	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_filiformis_DSM_11501/GCA_001639265.1_ASM163926v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Methanobrevibacter_filiformis_DSM_11501/GCA_001639265.1_ASM163926v1_protein.faa	0.982142857142857	included
GCA_002010305.1	0_included	Archaeoglobi	genbank	1935016	Archaeoglobi archaeon JdFR-42	Euryarchaeota	Archaeoglobi	11	Archaea	Euryarchaeota	Archaeoglobi	NA	NA	NA	Archaeoglobi archaeon JdFR-42	Archaea;Euryarchaeota;Archaeoglobi;NA;NA;NA;Archaeoglobi archaeon JdFR-42	21486200	42	-	na	Contig	SAMN06226359	PRJNA269163	MTND01	MTND00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/010/305/GCA_002010305.1_ASM201030v1	Archaeoglobi_archaeon_JdFR_42	ArcArc	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Archaeoglobi_archaeon_JdFR_42/GCA_002010305.1_ASM201030v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Archaeoglobi_archaeon_JdFR_42/Archaeoglobi_archaeon_JdFR_42.faa	0.982142857142857	included
GCA_000495475.1	0_included	Euryarchaeota	genbank	1324957	Candidatus Halobonum tyrrellensis G22	Euryarchaeota	Halobacteria	11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	Candidatus Halobonum	Candidatus Halobonum tyrrellensis	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;Candidatus Halobonum;Candidatus Halobonum tyrrellensis	36750900	72	3492	representative genome	Contig	SAMN02471691	PRJNA198495	ASGZ01	ASGZ00000000.1	-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/495/475/GCA_000495475.1_Htyrrel1.0	Ca_Halobonum_tyrrellensis_G22	HalTyr	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Halobonum_tyrrellensis_G22/GCA_000495475.1_Htyrrel1.0_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Ca_Halobonum_tyrrellensis_G22/GCA_000495475.1_Htyrrel1.0_protein.faa	0.982142857142857	included
2506783052	0_included	other	jgi	756883	halophilic archaeon DL31	-	-	11	Archaea	NA	NA	NA	NA	NA	halophilic archaeon DL31	Archaea;NA;NA;NA;NA;NA;halophilic archaeon DL31	3643158	3	3788	na	Finished	SAMN02232027	PRJNA52855	-	-	Yes	402830	-	halophilic_archaeon_DL31	HalAro	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_DL31/halophilic_archaeon_DL31.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/halophilic_archaeon_DL31/halophilic_archaeon_DL31.genes.faa	0.982142857142857	included
GCA_000025685.1	0_included	Euryarchaeota	genbank	309800	Haloferax volcanii DS2	Euryarchaeota	Halobacteria	11	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax volcanii	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;Haloferax;Haloferax volcanii	40129000	5	4023	representative genome	Complete Genome	SAMN02604027	PRJNA12524	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/685/GCA_000025685.1_ASM2568v1	Haloferax_volcanii_DS2	HalVol	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Haloferax_volcanii_DS2/GCA_000025685.1_ASM2568v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Haloferax_volcanii_DS2/GCA_000025685.1_ASM2568v1_protein.faa	0.982142857142857	included
2506783051	0_included	Euryarchaeota	jgi	758602	Halohasta litchfieldiae tADL	-	-	11	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	NA	NA	halophilic archaeon True-ADL	Archaea;Euryarchaeota;Halobacteria;Halobacteriales;NA;NA;halophilic archaeon True-ADL	3332022	1	3520	na	Permanent Draft	SAMN00117514	PRJNA53493	-	-	Yes	402826	-	Halohasta_litchfieldiae_tADL	HalAre	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Halohasta_litchfieldiae_tADL/Halohasta_litchfieldiae_tADL.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Halohasta_litchfieldiae_tADL/Halohasta_litchfieldiae_tADL.genes.faa	0.982142857142857	included
GCA_000022205.1	0_included	Euryarchaeota	genbank	416348	Halorubrum lacusprofundi ATCC 49239	Euryarchaeota	Halobacteria	11	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lacusprofundi	Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;Halorubrum;Halorubrum lacusprofundi	36925800	3	3656	representative genome	Complete Genome	SAMN02598407	PRJNA18455	-		-	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/205/GCA_000022205.1_ASM2220v1	Halorubrum_lacusprofundi_ATCC_49239	HalLac	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Halorubrum_lacusprofundi_ATCC_49239/GCA_000022205.1_ASM2220v1_genomic.fna	/local/one/people/MaxEmil/MarineGroupIV/1_taxon_sampling_Eury/genomicData/Halorubrum_lacusprofundi_ATCC_49239/GCA_000022205.1_ASM2220v1_protein.faa	0.982142857142857	included
